half,minutes,seconds,play_type,team,first_name,last_name,davidson_score,opponent_score
1,1,33,ASSIST,Davidson,DURKIN,BOBBY,31,28
1,1,6,GOOD 3PTR,Charlotte,MILICIC JR.,IGOR,31,31
1,1,6,ASSIST,Charlotte,GRAVES,NIK,31,31
1,0,50,GOOD JUMPER,Davidson,SKOGMAN,DAVID,33,31
1,0,19,GOOD JUMPER,Charlotte,GRAVES,NIK,33,33
1,0,9,FOUL,Charlotte,GRAVES,NIK,33,33
1,0,9,SUB OUT,Charlotte,GRAVES,NIK,33,33
1,0,9,SUB OUT,Charlotte,PATTERSON,LU'CYE,33,33
1,0,9,SUB IN,Charlotte,FOLKES,ISAIAH,33,33
1,0,9,SUB IN,Charlotte,BERRY,DAYLEN,33,33
1,0,3,MISS LAYUP,Davidson,HUFFMAN,GRANT,33,33
1,0,3,REBOUND DEF,Charlotte,MILICIC JR.,IGOR,33,33
2,20,0,SUB OUT,Charlotte,FOLKES,ISAIAH,33,33
2,20,0,SUB OUT,Charlotte,BERRY,DAYLEN,33,33
2,20,0,SUB IN,Charlotte,GRAVES,NIK,33,33
2,20,0,SUB IN,Charlotte,PATTERSON,LU'CYE,33,33
2,20,0,SUB OUT,Davidson,DURKIN,BOBBY,33,33
2,20,0,SUB OUT,Davidson,LOGAN,SEAN,33,33
2,20,0,SUB IN,Davidson,BAILEY,REED,33,33
2,20,0,SUB IN,Davidson,BRIZZI,ANGELO,33,33
2,19,50,MISS 3PTR,Davidson,KOCHERA,CONNOR,33,33
2,19,47,REBOUND DEF,Charlotte,GRAVES,NIK,33,33
2,19,31,GOOD LAYUP,Charlotte,JACKSON,DISHON,33,35
2,19,31,ASSIST,Charlotte,THREADGILL,JACKSON,33,35
2,19,11,GOOD LAYUP,Davidson,BRIZZI,ANGELO,35,35
2,19,11,FOUL,Charlotte,PATTERSON,LU'CYE,35,35
2,19,11,GOOD FT,Davidson,BRIZZI,ANGELO,36,35
2,18,50,GOOD JUMPER,Charlotte,JACKSON,DISHON,36,37
2,18,50,ASSIST,Charlotte,MILICIC JR.,IGOR,36,37
2,18,37,GOOD 3PTR,Davidson,SKOGMAN,DAVID,39,37
2,18,37,ASSIST,Davidson,BAILEY,REED,39,37
2,18,11,MISS LAYUP,Charlotte,GRAVES,NIK,39,37
2,18,8,REBOUND OFF,Charlotte,MILICIC JR.,IGOR,39,37
2,18,7,MISS LAYUP,Charlotte,MILICIC JR.,IGOR,39,37
2,18,5,REBOUND DEF,Davidson,BAILEY,REED,39,37
2,18,2,GOOD LAYUP,Davidson,HUFFMAN,GRANT,41,37
2,17,44,GOOD JUMPER,Charlotte,MILICIC JR.,IGOR,41,39
2,17,44,ASSIST,Charlotte,GRAVES,NIK,41,39
2,17,18,MISS JUMPER,Davidson,SKOGMAN,DAVID,41,39
2,17,16,REBOUND DEF,Charlotte,MILICIC JR.,IGOR,41,39
2,17,6,MISS JUMPER,Charlotte,THREADGILL,JACKSON,41,39
2,17,3,REBOUND DEF,Davidson,BAILEY,REED,41,39
2,16,39,GOOD 3PTR,Davidson,KOCHERA,CONNOR,44,39
2,16,39,ASSIST,Davidson,BAILEY,REED,44,39
2,16,12,GOOD LAYUP,Charlotte,JACKSON,DISHON,44,41
2,16,12,ASSIST,Charlotte,THREADGILL,JACKSON,44,41
2,16,3,GOOD LAYUP,Davidson,SKOGMAN,DAVID,46,41
2,16,3,ASSIST,Davidson,HUFFMAN,GRANT,46,41
2,16,0,Timeout,Davidson,,,46,41
2,16,0,SUB OUT,Davidson,KOCHERA,CONNOR,46,41
2,16,0,SUB OUT,Davidson,SKOGMAN,DAVID,46,41
2,16,0,SUB IN,Davidson,DURKIN,BOBBY,46,41
2,16,0,SUB IN,Davidson,LOGAN,SEAN,46,41
2,15,47,GOOD 3PTR,Charlotte,MILICIC JR.,IGOR,46,44
2,15,47,ASSIST,Charlotte,GRAVES,NIK,46,44
2,15,34,MISS LAYUP,Davidson,HUFFMAN,GRANT,46,44
2,15,32,REBOUND DEF,Charlotte,MILICIC JR.,IGOR,46,44
2,15,22,GOOD DUNK,Charlotte,JACKSON,DISHON,46,46
2,15,22,ASSIST,Charlotte,MILICIC JR.,IGOR,46,46
2,15,13,MISS 3PTR,Davidson,LOGAN,SEAN,46,46
2,15,11,REBOUND DEADB,Charlotte,,,46,46
2,15,11,SUB OUT,Davidson,BAILEY,REED,46,46
2,15,11,SUB IN,Davidson,ADAM,HUNTER,46,46
